objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207976,857458,bbc44f00faf0c759a49c516892958289e77204c7f5d3ed2dbadc42be66bced96,0014098,1591862001409872,159186,4115200,-51.95583149999993,-23.42215619999996
207977,857459,2009f4efc06bddb546ac9ad8d4c1d04cc5249d8df78ffe01e406ab2649a832c3,0012667,1591862001266797,159186,4115200,-51.93638749999997,-23.42567329999997
207978,857460,ecf763fdf72333198ba99ec6aeaa677efd7ca558198130fdedc2e2c478af3866,0018669,1591862001866936,159186,4115200,-51.93229319999995,-23.376350499999944
207979,857461,b906608acf513d3ad129b25bef08e34aa236a5c5cf72641b7e87dc3f1f9bf46d,0014093,1591862001409387,159186,4115200,-51.95583149999993,-23.42215619999996
207981,857469,c40b3ec61b90e678599684ae85e4ddc05fe29056d626601467fec8292db120d6,0014099,1591862001409969,159186,4115200,-51.95583149999993,-23.42215619999996
207982,857470,e22707fc2673dad0ced8dae447e138705fd16c67c3ace8691901291e41a73181,0018507,1591862001850737,159186,4115200,-51.97371949999996,-23.416405999999938
207983,857471,f55a3f580e15b0bd5484b6c87001bcbdea75315e988b3dbedba8a58c008d1065,0018683,1591862001868391,159186,4115200,-51.91625989999994,-23.378841799999975
207984,857472,1ab8bdd7dccca52082f630283df8ea9935c7c44a2c46d29fac1b0a2e1be5225d,0018212,1591862001821249,159186,4115200,-51.98257609999996,-23.39986049999993
207985,857475,84b7ef99a7e09f55993fe74d51d43955810a7bc15e2ff371f811a46c3bacdfc3,0014126,1591862001412685,159186,4115200,-51.95583149999993,-23.42215619999996
207986,857477,c57c6e11486fa38dd764e50300588b7d8b775bd4270bd636bc500bd121de401d,0006760,1591862000676067,159186,4115200,-51.978704499999935,-23.444223499999964
207987,857479,c3aaed3e00766ecdf579a35e06b96832e4459e29d48a6186c2556c2530cd8c68,0018664,1591862001866451,159186,4115200,-51.92105469999996,-23.390631499999927
207988,857482,ed69e921d6f8fa54c8730f7d6fcb3ff65bb3f834ffc223eb81ea21104a8fed3a,0018720,1591862001872077,159186,4115200,-51.93447069999996,-23.392380799999955
207989,857484,dbbe11f0e16631d8dfa7812e1fe3a809a4b6490df0103ca64c6668f38d8e1f14,0016258,1591862001625891,159186,4115200,-51.93384919999994,-23.375008399999956
207990,857486,d0717b8416cba5db9a2e07ac29aa7f6de8b2baaeab5abef3d812869c5f00988e,0017954,1591862001795447,159186,4115200,-51.98388099999994,-23.398166199999935
207991,857488,0acd7110decd22f9ed221852325cf37294cbebc60b8d3e18a394b1052ff676a5,0004719,1591862000471979,159186,4115200,-51.93429349999997,-23.435169799999983
207992,857490,711dab5c38b6975dc1dd3a197799465611c8d87bd93efa54cf7b4f8d0df3aadc,0012481,1591862001248173,159186,4115200,-51.921516199999985,-23.38304889999995
207993,857491,61bd87a9db269cbfdcc5440f814b45dc3a24c0ed7b818d4791bf905ab39140c3,0006431,1591862000643184,159186,4115200,-51.98257609999996,-23.39986049999993
207994,857493,861a23724cebf2f312cc9c5cea1770ebb5ca58345fac3da2b0dabcffe146c296,0004965,1591862000496520,159186,4115200,-51.978704499999935,-23.444223499999964
